E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8,E_A#9 / keV,N_A#9,E_A#10 / keV,N_A#10,E_A#11 / keV,N_A#11
1075.4,12,1075.4,8,1075.4,4,1075.4,5,1075.4,8,1075.4,8,1075.4,4,1075.4,5,1075.4,2,1075.4,4,1075.4,3
1078.3,12,1078.3,7,1078.3,3,1078.3,3,1078.3,3,1078.3,2,1078.3,6,1078.3,2,1078.3,1,1078.3,7,1078.3,4
1081.1,9,1081.1,6,1081.1,4,1081.1,6,1081.1,4,1081.1,5,1081.1,5,1081.1,7,1081.1,8,1081.1,3,1081.1,2
1084,13,1084,5,1084,5,1084,4,1084,2,1084,3,1084,3,1084,4,1084,5,1084,2,1084,7
1086.8,6,1086.8,7,1086.8,3,1086.8,3,1086.8,5,1086.8,6,1086.8,7,1086.8,2,1086.8,3,1086.8,2,1086.8,3
1089.6,10,1089.6,7,1089.6,4,1089.6,3,1089.6,8,1089.6,5,1089.6,3,1089.6,2,1089.6,3,1089.6,5,1089.6,2
1092.5,14,1092.5,5,1092.5,2,1092.5,8,1092.5,1,1092.5,3,1092.5,6,1092.5,1,1092.5,3,1092.5,2,1092.5,6
1095.3,12,1095.3,3,1095.3,10,1095.3,3,1095.3,4,1095.3,4,1095.3,4,1095.3,3,1095.3,4,1095.3,6,1095.3,4
1098.1,10,1098.1,5,1098.1,5,1098.1,5,1098.1,7,1098.1,5,1098.1,4,1098.1,5,1098.1,3,1098.1,4,1098.1,4
1101,3,1101,7,1101,3,1101,3,1101,2,1101,3,1101,7,1101,6,1101,0,1101,2,1101,5
1103.8,2,1103.8,5,1103.8,6,1103.8,7,1103.8,2,1103.8,3,1103.8,2,1103.8,5,1103.8,2,1103.8,7,1103.8,7
1106.7,6,1106.7,7,1106.7,9,1106.7,2,1106.7,1,1106.7,3,1106.7,1,1106.7,3,1106.7,3,1106.7,1,1106.7,5
1109.5,11,1109.5,5,1109.5,6,1109.5,5,1109.5,3,1109.5,1,1109.5,5,1109.5,5,1109.5,2,1109.5,2,1109.5,0
1112.3,11,1112.3,7,1112.3,6,1112.3,4,1112.3,2,1112.3,2,1112.3,3,1112.3,3,1112.3,3,1112.3,1,1112.3,5
1115.2,16,1115.2,4,1115.2,5,1115.2,3,1115.2,8,1115.2,4,1115.2,2,1115.2,2,1115.2,2,1115.2,3,1115.2,7
1118,10,1118,8,1118,1,1118,1,1118,2,1118,2,1118,3,1118,1,1118,3,1118,6,1118,3
1120.8,10,1120.8,3,1120.8,1,1120.8,3,1120.8,5,1120.8,1,1120.8,4,1120.8,6,1120.8,5,1120.8,1,1120.8,3
1123.7,20,1123.7,2,1123.7,4,1123.7,4,1123.7,3,1123.7,4,1123.7,2,1123.7,3,1123.7,2,1123.7,4,1123.7,6
1126.5,19,1126.5,0,1126.5,3,1126.5,3,1126.5,3,1126.5,5,1126.5,2,1126.5,1,1126.5,2,1126.5,6,1126.5,2
1129.3,14,1129.3,7,1129.3,4,1129.3,4,1129.3,3,1129.3,2,1129.3,3,1129.3,2,1129.3,3,1129.3,5,1129.3,2
1132.2,23,1132.2,5,1132.2,4,1132.2,5,1132.2,2,1132.2,3,1132.2,3,1132.2,6,1132.2,4,1132.2,0,1132.2,4
1135,18,1135,7,1135,1,1135,3,1135,2,1135,6,1135,3,1135,3,1135,3,1135,4,1135,2
1137.9,19,1137.9,4,1137.9,3,1137.9,3,1137.9,1,1137.9,5,1137.9,5,1137.9,3,1137.9,1,1137.9,2,1137.9,4
1140.7,28,1140.7,2,1140.7,3,1140.7,3,1140.7,4,1140.7,2,1140.7,4,1140.7,1,1140.7,5,1140.7,1,1140.7,3
1143.5,19,1143.5,2,1143.5,1,1143.5,1,1143.5,3,1143.5,3,1143.5,9,1143.5,2,1143.5,6,1143.5,2,1143.5,5
1146.4,35,1146.4,4,1146.4,3,1146.4,5,1146.4,1,1146.4,3,1146.4,2,1146.4,4,1146.4,1,1146.4,3,1146.4,4
1149.2,29,1149.2,2,1149.2,3,1149.2,2,1149.2,3,1149.2,2,1149.2,4,1149.2,2,1149.2,2,1149.2,3,1149.2,1
1152,30,1152,2,1152,1,1152,3,1152,2,1152,2,1152,8,1152,9,1152,5,1152,1,1152,3
1154.9,38,1154.9,3,1154.9,6,1154.9,2,1154.9,2,1154.9,2,1154.9,8,1154.9,6,1154.9,7,1154.9,4,1154.9,3
1157.7,42,1157.7,0,1157.7,3,1157.7,7,1157.7,2,1157.7,4,1157.7,6,1157.7,3,1157.7,3,1157.7,6,1157.7,4
1160.5,36,1160.5,4,1160.5,5,1160.5,2,1160.5,2,1160.5,2,1160.5,2,1160.5,3,1160.5,3,1160.5,4,1160.5,2
1163.4,51,1163.4,3,1163.4,6,1163.4,3,1163.4,5,1163.4,2,1163.4,2,1163.4,4,1163.4,7,1163.4,4,1163.4,3
1166.2,38,1166.2,2,1166.2,8,1166.2,4,1166.2,4,1166.2,3,1166.2,2,1166.2,4,1166.2,1,1166.2,0,1166.2,3
1169.1,32,1169.1,6,1169.1,4,1169.1,4,1169.1,3,1169.1,5,1169.1,2,1169.1,3,1169.1,10,1169.1,8,1169.1,4
1171.9,45,1171.9,2,1171.9,6,1171.9,5,1171.9,6,1171.9,4,1171.9,4,1171.9,7,1171.9,3,1171.9,3,1171.9,4
1174.7,49,1174.7,3,1174.7,3,1174.7,4,1174.7,8,1174.7,2,1174.7,6,1174.7,4,1174.7,2,1174.7,2,1174.7,4
1177.6,31,1177.6,7,1177.6,1,1177.6,2,1177.6,4,1177.6,4,1177.6,2,1177.6,9,1177.6,3,1177.6,7,1177.6,1
1180.4,49,1180.4,3,1180.4,8,1180.4,2,1180.4,5,1180.4,4,1180.4,4,1180.4,4,1180.4,3,1180.4,3,1180.4,9
1183.2,44,1183.2,9,1183.2,3,1183.2,6,1183.2,5,1183.2,5,1183.2,6,1183.2,3,1183.2,5,1183.2,5,1183.2,8
1186.1,38,1186.1,3,1186.1,1,1186.1,8,1186.1,2,1186.1,6,1186.1,4,1186.1,6,1186.1,4,1186.1,4,1186.1,2
1188.9,34,1188.9,2,1188.9,1,1188.9,3,1188.9,3,1188.9,7,1188.9,0,1188.9,3,1188.9,2,1188.9,4,1188.9,3
1191.7,36,1191.7,4,1191.7,1,1191.7,4,1191.7,3,1191.7,1,1191.7,2,1191.7,5,1191.7,9,1191.7,3,1191.7,5
1194.6,24,1194.6,4,1194.6,0,1194.6,5,1194.6,2,1194.6,1,1194.6,3,1194.6,4,1194.6,5,1194.6,7,1194.6,6
1197.4,24,1197.4,6,1197.4,6,1197.4,1,1197.4,2,1197.4,3,1197.4,4,1197.4,11,1197.4,5,1197.4,3,1197.4,6
1200.3,20,1200.3,2,1200.3,3,1200.3,3,1200.3,2,1200.3,3,1200.3,5,1200.3,6,1200.3,2,1200.3,3,1200.3,1
1203.1,23,1203.1,5,1203.1,4,1203.1,3,1203.1,6,1203.1,3,1203.1,1,1203.1,6,1203.1,6,1203.1,6,1203.1,2
1205.9,20,1205.9,7,1205.9,3,1205.9,6,1205.9,3,1205.9,6,1205.9,3,1205.9,2,1205.9,4,1205.9,3,1205.9,5
1208.8,16,1208.8,6,1208.8,9,1208.8,3,1208.8,5,1208.8,2,1208.8,1,1208.8,3,1208.8,0,1208.8,3,1208.8,2
1211.6,19,1211.6,7,1211.6,1,1211.6,3,1211.6,2,1211.6,4,1211.6,1,1211.6,4,1211.6,5,1211.6,4,1211.6,1
1214.4,13,1214.4,7,1214.4,1,1214.4,2,1214.4,3,1214.4,2,1214.4,2,1214.4,4,1214.4,2,1214.4,2,1214.4,3
1217.3,12,1217.3,11,1217.3,3,1217.3,1,1217.3,2,1217.3,5,1217.3,1,1217.3,3,1217.3,0,1217.3,5,1217.3,1
1220.1,11,1220.1,11,1220.1,3,1220.1,2,1220.1,3,1220.1,1,1220.1,3,1220.1,3,1220.1,3,1220.1,2,1220.1,4
1222.9,13,1222.9,15,1222.9,4,1222.9,6,1222.9,2,1222.9,3,1222.9,5,1222.9,4,1222.9,6,1222.9,2,1222.9,6
1225.8,3,1225.8,16,1225.8,5,1225.8,1,1225.8,6,1225.8,4,1225.8,3,1225.8,4,1225.8,3,1225.8,3,1225.8,3
1228.6,5,1228.6,25,1228.6,4,1228.6,3,1228.6,3,1228.6,3,1228.6,1,1228.6,4,1228.6,3,1228.6,0,1228.6,3
1231.5,5,1231.5,18,1231.5,2,1231.5,6,1231.5,4,1231.5,0,1231.5,1,1231.5,3,1231.5,3,1231.5,3,1231.5,3
1234.3,7,1234.3,23,1234.3,2,1234.3,4,1234.3,1,1234.3,7,1234.3,4,1234.3,2,1234.3,4,1234.3,2,1234.3,4
1237.1,1,1237.1,24,1237.1,1,1237.1,1,1237.1,3,1237.1,5,1237.1,5,1237.1,7,1237.1,2,1237.1,4,1237.1,4
1240,3,1240,24,1240,4,1240,6,1240,6,1240,7,1240,4,1240,5,1240,5,1240,4,1240,2
1242.8,2,1242.8,30,1242.8,11,1242.8,5,1242.8,3,1242.8,6,1242.8,5,1242.8,3,1242.8,6,1242.8,3,1242.8,6
1245.6,7,1245.6,38,1245.6,5,1245.6,8,1245.6,5,1245.6,6,1245.6,2,1245.6,5,1245.6,3,1245.6,6,1245.6,8
1248.5,3,1248.5,32,1248.5,2,1248.5,6,1248.5,8,1248.5,5,1248.5,5,1248.5,5,1248.5,6,1248.5,8,1248.5,7
1251.3,5,1251.3,45,1251.3,8,1251.3,5,1251.3,6,1251.3,10,1251.3,5,1251.3,5,1251.3,9,1251.3,2,1251.3,4
1254.1,1,1254.1,49,1254.1,2,1254.1,8,1254.1,8,1254.1,5,1254.1,5,1254.1,5,1254.1,6,1254.1,6,1254.1,8
1257,0,1257,26,1257,7,1257,3,1257,10,1257,8,1257,5,1257,4,1257,9,1257,7,1257,12
1259.8,7,1259.8,56,1259.8,6,1259.8,5,1259.8,7,1259.8,10,1259.8,6,1259.8,7,1259.8,6,1259.8,5,1259.8,6
1262.7,2,1262.7,47,1262.7,9,1262.7,10,1262.7,5,1262.7,1,1262.7,4,1262.7,4,1262.7,6,1262.7,8,1262.7,6
1265.5,4,1265.5,55,1265.5,8,1265.5,6,1265.5,9,1265.5,11,1265.5,4,1265.5,9,1265.5,7,1265.5,3,1265.5,8
1268.3,8,1268.3,60,1268.3,10,1268.3,11,1268.3,17,1268.3,4,1268.3,3,1268.3,10,1268.3,6,1268.3,10,1268.3,3
1271.2,7,1271.2,48,1271.2,2,1271.2,7,1271.2,7,1271.2,9,1271.2,10,1271.2,12,1271.2,8,1271.2,7,1271.2,7
1274,8,1274,74,1274,3,1274,13,1274,11,1274,5,1274,5,1274,8,1274,5,1274,11,1274,7
1276.8,6,1276.8,48,1276.8,5,1276.8,7,1276.8,8,1276.8,4,1276.8,7,1276.8,8,1276.8,10,1276.8,8,1276.8,5
1279.7,26,1279.7,59,1279.7,6,1279.7,7,1279.7,6,1279.7,7,1279.7,8,1279.7,8,1279.7,7,1279.7,5,1279.7,9
1282.5,18,1282.5,46,1282.5,8,1282.5,6,1282.5,4,1282.5,11,1282.5,7,1282.5,7,1282.5,11,1282.5,11,1282.5,5
1285.3,17,1285.3,41,1285.3,8,1285.3,7,1285.3,8,1285.3,6,1285.3,7,1285.3,7,1285.3,11,1285.3,11,1285.3,8
1288.2,16,1288.2,43,1288.2,12,1288.2,4,1288.2,8,1288.2,5,1288.2,9,1288.2,10,1288.2,11,1288.2,5,1288.2,6
1291,18,1291,42,1291,5,1291,6,1291,5,1291,8,1291,5,1291,8,1291,12,1291,10,1291,11
1293.9,27,1293.9,36,1293.9,13,1293.9,6,1293.9,7,1293.9,7,1293.9,5,1293.9,5,1293.9,7,1293.9,11,1293.9,5
1296.7,21,1296.7,25,1296.7,4,1296.7,4,1296.7,6,1296.7,9,1296.7,7,1296.7,7,1296.7,8,1296.7,7,1296.7,8
1299.5,23,1299.5,31,1299.5,6,1299.5,6,1299.5,4,1299.5,5,1299.5,5,1299.5,10,1299.5,5,1299.5,7,1299.5,8
1302.4,23,1302.4,16,1302.4,8,1302.4,4,1302.4,6,1302.4,4,1302.4,3,1302.4,10,1302.4,13,1302.4,5,1302.4,7
1305.2,34,1305.2,19,1305.2,9,1305.2,6,1305.2,2,1305.2,7,1305.2,6,1305.2,4,1305.2,4,1305.2,6,1305.2,5
1308,30,1308,21,1308,0,1308,4,1308,2,1308,6,1308,6,1308,3,1308,10,1308,3,1308,3
1310.9,30,1310.9,16,1310.9,6,1310.9,5,1310.9,3,1310.9,3,1310.9,4,1310.9,3,1310.9,5,1310.9,8,1310.9,4
1313.7,35,1313.7,10,1313.7,5,1313.7,6,1313.7,6,1313.7,7,1313.7,6,1313.7,6,1313.7,3,1313.7,5,1313.7,7
1316.5,27,1316.5,11,1316.5,3,1316.5,3,1316.5,4,1316.5,9,1316.5,5,1316.5,7,1316.5,2,1316.5,4,1316.5,9
1319.4,34,1319.4,14,1319.4,2,1319.4,4,1319.4,4,1319.4,6,1319.4,5,1319.4,6,1319.4,4,1319.4,3,1319.4,9
1322.2,29,1322.2,10,1322.2,4,1322.2,3,1322.2,2,1322.2,7,1322.2,5,1322.2,7,1322.2,4,1322.2,5,1322.2,7
1325.1,29,1325.1,6,1325.1,6,1325.1,2,1325.1,2,1325.1,3,1325.1,3,1325.1,4,1325.1,6,1325.1,3,1325.1,5
1327.9,38,1327.9,4,1327.9,3,1327.9,5,1327.9,0,1327.9,4,1327.9,7,1327.9,2,1327.9,3,1327.9,7,1327.9,4
1330.7,32,1330.7,9,1330.7,3,1330.7,2,1330.7,1,1330.7,4,1330.7,2,1330.7,1,1330.7,2,1330.7,3,1330.7,5
1333.6,44,1333.6,4,1333.6,2,1333.6,2,1333.6,4,1333.6,4,1333.6,6,1333.6,1,1333.6,2,1333.6,1,1333.6,4
1336.4,33,1336.4,3,1336.4,1,1336.4,4,1336.4,0,1336.4,4,1336.4,3,1336.4,3,1336.4,6,1336.4,6,1336.4,2
1339.2,35,1339.2,4,1339.2,3,1339.2,4,1339.2,0,1339.2,3,1339.2,5,1339.2,2,1339.2,1,1339.2,3,1339.2,4
1342.1,23,1342.1,0,1342.1,2,1342.1,2,1342.1,2,1342.1,1,1342.1,2,1342.1,4,1342.1,3,1342.1,1,1342.1,3
1344.9,26,1344.9,0,1344.9,4,1344.9,0,1344.9,3,1344.9,2,1344.9,4,1344.9,4,1344.9,3,1344.9,3,1344.9,2
1347.7,23,1347.7,3,1347.7,4,1347.7,2,1347.7,2,1347.7,4,1347.7,2,1347.7,0,1347.7,2,1347.7,2,1347.7,4
1350.6,17,1350.6,1,1350.6,0,1350.6,4,1350.6,0,1350.6,3,1350.6,3,1350.6,4,1350.6,2,1350.6,3,1350.6,4
1353.4,24,1353.4,2,1353.4,0,1353.4,3,1353.4,1,1353.4,5,1353.4,3,1353.4,2,1353.4,2,1353.4,5,1353.4,3
1356.3,14,1356.3,1,1356.3,4,1356.3,3,1356.3,1,1356.3,2,1356.3,2,1356.3,1,1356.3,4,1356.3,0,1356.3,3
1359.1,15,1359.1,0,1359.1,2,1359.1,2,1359.1,0,1359.1,3,1359.1,0,1359.1,0,1359.1,3,1359.1,0,1359.1,0
1361.9,13,1361.9,1,1361.9,2,1361.9,0,1361.9,1,1361.9,1,1361.9,1,1361.9,2,1361.9,5,1361.9,5,1361.9,1
1364.8,12,1364.8,1,1364.8,1,1364.8,2,1364.8,0,1364.8,3,1364.8,3,1364.8,1,1364.8,1,1364.8,2,1364.8,0
1367.6,6,1367.6,1,1367.6,0,1367.6,3,1367.6,0,1367.6,1,1367.6,2,1367.6,1,1367.6,3,1367.6,1,1367.6,0
1370.4,4,1370.4,2,1370.4,2,1370.4,0,1370.4,1,1370.4,1,1370.4,1,1370.4,1,1370.4,3,1370.4,2,1370.4,1
1373.3,11,1373.3,1,1373.3,2,1373.3,0,1373.3,2,1373.3,2,1373.3,2,1373.3,3,1373.3,7,1373.3,2,1373.3,3
1376.1,4,1376.1,0,1376.1,2,1376.1,0,1376.1,1,1376.1,1,1376.1,2,1376.1,2,1376.1,1,1376.1,1,1376.1,1
1378.9,8,1378.9,0,1378.9,1,1378.9,4,1378.9,1,1378.9,0,1378.9,2,1378.9,0,1378.9,4,1378.9,1,1378.9,5
1381.8,0,1381.8,1,1381.8,1,1381.8,3,1381.8,0,1381.8,1,1381.8,1,1381.8,1,1381.8,0,1381.8,1,1381.8,0
1384.6,7,1384.6,3,1384.6,0,1384.6,0,1384.6,1,1384.6,0,1384.6,3,1384.6,3,1384.6,2,1384.6,0,1384.6,0
1387.5,5,1387.5,2,1387.5,0,1387.5,1,1387.5,0,1387.5,0,1387.5,1,1387.5,1,1387.5,2,1387.5,4,1387.5,1
1390.3,4,1390.3,3,1390.3,3,1390.3,1,1390.3,1,1390.3,1,1390.3,0,1390.3,1,1390.3,0,1390.3,1,1390.3,1
1393.1,179,1393.1,177,1393.1,291,1393.1,230,1393.1,260,1393.1,270,1393.1,281,1393.1,283,1393.1,291,1393.1,281,1393.1,242
